
================================================================================
FAST MODBUS RTU SCAN
================================================================================

FUNCTION CODE 3

FC=3  REG=14970 RAW=1      BIN=0000000000000001
FC=3  REG=14971 RAW=1      BIN=0000000000000001
FC=3  REG=14972 RAW=1      BIN=0000000000000001
FC=3  REG=14973 RAW=1      BIN=0000000000000001
FC=3  REG=14974 RAW=1      BIN=0000000000000001
FC=3  REG=14975 RAW=1      BIN=0000000000000001
FC=3  REG=14976 RAW=1      BIN=0000000000000001
FC=3  REG=14977 RAW=1      BIN=0000000000000001
FC=3  REG=14978 RAW=1      BIN=0000000000000001
FC=3  REG=14979 RAW=1      BIN=0000000000000001
FC=3  REG=14980 RAW=1      BIN=0000000000000001
FC=3  REG=14981 RAW=1      BIN=0000000000000001
FC=3  REG=14982 RAW=1      BIN=0000000000000001
FC=3  REG=14983 RAW=1      BIN=0000000000000001
FC=3  REG=14984 RAW=1      BIN=0000000000000001
FC=3  REG=14985 RAW=1      BIN=0000000000000001
